City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,methil,56.1849,-3.0133,10.47,89,88,3.13,GB,12-18-2023
222,samokov,42.3333,23.55,0.93,78,5,1.84,BG,12-18-2023
223,qamdo,31.1667,97.2333,-7.14,57,14,1.19,CN,12-18-2023
224,navlya,52.8281,34.4989,1.09,100,100,3.24,RU,12-18-2023
225,roja,57.5,22.8167,5.61,97,100,4.7,LV,12-18-2023
226,cocachacra,-17.0883,-71.7575,23.16,77,95,3.58,PE,12-18-2023
227,jayapura,-2.5333,140.7,24.66,90,100,1.95,ID,12-18-2023
228,cortez,37.3489,-108.5859,6.13,74,0,2.06,US,12-18-2023
229,port alfred,-33.5906,26.891,20.66,84,0,2.24,ZA,12-18-2023
230,zheleznogorsk-ilimskiy,56.5768,104.1217,-32.02,100,89,0.45,RU,12-18-2023
231,xiaoweizhai,26.1903,107.5125,0.77,81,100,2.23,CN,12-18-2023
232,palmer,42.1584,-72.3287,16.65,83,100,7.15,US,12-18-2023
233,port lincoln,-34.7333,135.8667,15.0,71,42,9.15,AU,12-18-2023
234,ghanzi,-21.5667,21.7833,32.92,30,91,4.29,BW,12-18-2023
235,saipan,15.1355,145.701,27.39,89,40,4.63,MP,12-18-2023
236,mugia,43.1041,-9.2179,12.17,67,32,0.62,ES,12-18-2023
237,ingeniero jacobacci,-41.3427,-69.5448,14.46,22,4,2.47,AR,12-18-2023
238,rabo de peixe,37.8,-25.5833,18.73,99,20,5.14,PT,12-18-2023
239,nuuk,64.1835,-51.7216,-6.66,93,100,7.72,GL,12-18-2023
240,chonchi,-42.6128,-73.8092,14.56,41,2,2.4,CL,12-18-2023
241,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,12-18-2023
242,dawei,14.0833,98.2,23.82,76,85,1.86,MM,12-18-2023
243,grand falls-windsor,48.9332,-55.6649,6.95,81,100,4.02,CA,12-18-2023
244,hoemul-li,41.4339,129.67,-9.59,69,58,2.26,KP,12-18-2023
245,lebu,-37.6167,-73.65,13.8,59,0,9.81,CL,12-18-2023
246,kupang,-10.1667,123.5833,26.32,89,40,1.03,ID,12-18-2023
247,tura,25.5198,90.2201,15.38,83,57,1.13,IN,12-18-2023
248,kiunga,-6.1219,141.2906,23.49,99,99,0.86,PG,12-18-2023
249,coron,11.9986,120.2043,28.45,68,100,5.09,PH,12-18-2023
250,fale old settlement,-9.3852,-171.2468,28.84,75,81,3.8,TK,12-18-2023
251,taro,-8.3862,115.28,23.0,84,62,0.72,ID,12-18-2023
252,kidal,18.4411,1.4078,24.24,13,95,5.82,ML,12-18-2023
253,dzerzhinskoye,56.8344,95.2283,-30.7,100,27,1.22,RU,12-18-2023
254,kingston,17.997,-76.7936,27.36,81,60,2.68,JM,12-18-2023
255,nuku'alofa,-21.1333,-175.2,24.19,83,20,4.63,TO,12-18-2023
256,ljungby,56.8332,13.9408,7.56,98,100,4.59,SE,12-18-2023
257,tvoroyri,61.5556,-6.8111,5.83,72,77,19.99,FO,12-18-2023
258,yoro,15.1333,-87.1333,21.29,83,40,2.06,HN,12-18-2023
259,labruguiere,43.5386,2.2639,12.19,55,0,1.03,FR,12-18-2023
260,kuznetsk,53.1167,46.6004,-3.22,95,98,4.32,RU,12-18-2023
261,bahia de kino,28.8333,-111.9333,19.63,45,96,2.61,MX,12-18-2023
262,yerofey pavlovich,53.9667,121.9667,-28.48,88,99,1.26,RU,12-18-2023
263,farafangana,-22.8167,47.8333,25.71,77,9,4.64,MG,12-18-2023
264,yoloten,37.2989,62.3597,6.0,65,100,5.23,TM,12-18-2023
265,arvayheer,46.2639,102.775,-25.32,83,100,2.0,MN,12-18-2023
266,al jubayl,27.0112,49.6583,20.71,63,40,2.58,SA,12-18-2023
267,kavaratti,10.5669,72.642,28.46,75,100,5.32,IN,12-18-2023
268,gwio kura,12.6753,11.0682,31.57,14,3,4.12,NG,12-18-2023
269,rongelap,11.1635,166.8941,26.95,76,23,10.6,MH,12-18-2023
270,tucuma,-0.1833,-50.05,31.47,57,65,2.54,BR,12-18-2023
271,camabatela,-8.1881,15.375,20.42,97,100,1.4,AO,12-18-2023
272,tagiura,32.8817,13.3506,17.09,63,14,5.52,LY,12-18-2023
273,flying fish cove,-10.4217,105.6791,24.82,78,40,2.06,CX,12-18-2023
274,cabedelo,-6.9811,-34.8339,30.37,67,100,4.49,BR,12-18-2023
275,fortuna,40.5982,-124.1573,15.51,86,75,6.69,US,12-18-2023
276,kalmunai,7.4167,81.8167,25.71,88,86,3.47,LK,12-18-2023
277,koz'modem'yansk,56.3367,46.5711,-2.12,90,99,5.26,RU,12-18-2023
278,howard springs,-12.497,131.047,29.95,86,99,3.55,AU,12-18-2023
279,lerwick,60.1545,-1.1494,9.0,89,100,14.59,GB,12-18-2023
280,holualoa,19.6228,-155.9522,19.37,72,0,1.54,US,12-18-2023
281,lulea,65.5842,22.1547,2.04,80,0,4.63,SE,12-18-2023
282,cidade velha,14.9167,-23.6167,28.26,54,40,7.2,CV,12-18-2023
283,yenotayevka,47.2456,47.0281,1.92,98,100,6.28,RU,12-18-2023
284,nikolayevsk-on-amure,53.1406,140.73,-24.97,99,100,2.12,RU,12-18-2023
285,sitka,57.0531,-135.33,0.94,80,0,0.0,US,12-18-2023
286,enewetak,11.3474,162.3373,27.42,68,8,11.71,MH,12-18-2023
287,afaahiti,-17.75,-149.2833,23.93,87,100,4.76,PF,12-18-2023
288,singkil,-7.9855,111.4161,23.48,84,25,2.12,ID,12-18-2023
289,tacna,-18.0056,-70.2483,22.11,60,75,3.09,PE,12-18-2023
290,don luan,11.5333,106.9167,22.78,83,92,2.3,VN,12-18-2023
291,boquete,8.7833,-82.4333,22.78,73,99,2.24,PA,12-18-2023
292,sambava,-14.2667,50.1667,26.86,74,99,2.38,MG,12-18-2023
293,colonia,50.9333,6.95,6.03,82,0,0.51,DE,12-18-2023
294,buka,40.8108,69.1986,7.25,50,100,1.54,UZ,12-18-2023
295,basco,20.4487,121.9702,25.77,77,100,10.81,PH,12-18-2023
296,talanga,14.4,-87.0833,21.3,58,59,3.74,HN,12-18-2023
297,gorom-gorom,14.4439,-0.2361,29.15,8,64,5.06,BF,12-18-2023
298,poltavka,54.3663,71.7632,-8.79,94,100,6.81,RU,12-18-2023
299,safaga,26.7292,33.9365,22.79,50,5,7.78,EG,12-18-2023
300,weligama,5.9667,80.4167,24.52,93,97,4.4,LK,12-18-2023
301,almeirim,-1.5233,-52.5817,35.67,40,26,2.18,BR,12-18-2023
302,sisimiut,66.9395,-53.6735,-9.96,78,100,17.08,GL,12-18-2023
303,strezhevoy,60.7333,77.5889,-13.35,85,100,7.6,RU,12-18-2023
304,buckhannon,38.994,-80.232,3.36,92,75,7.2,US,12-18-2023
305,smithers,54.7804,-127.1743,-5.82,100,100,0.0,CA,12-18-2023
306,tazovsky,67.4667,78.7,-12.95,91,100,10.59,RU,12-18-2023
307,nar'yan-mar,67.6713,53.087,-13.27,91,100,8.49,RU,12-18-2023
308,carnarvon,-24.8667,113.6333,22.7,79,5,6.63,AU,12-18-2023
309,sinazongwe,-17.2614,27.4618,32.38,49,52,3.84,ZM,12-18-2023
310,kudahuvadhoo,2.6708,72.8944,28.61,72,86,1.88,MV,12-18-2023
311,san antonio de pale,-1.4014,5.6325,27.02,81,75,3.45,GQ,12-18-2023
312,tobol'sk,58.2,68.2667,-9.12,94,100,4.8,RU,12-18-2023
313,lagoa,39.05,-27.9833,14.12,89,100,9.81,PT,12-18-2023
314,rawatsar,29.2833,74.3833,16.47,27,0,3.72,IN,12-18-2023
315,eldorado,-23.7869,-54.2836,35.87,35,37,2.0,BR,12-18-2023
316,tolanaro,-25.0319,46.9987,23.7,88,11,2.84,MG,12-18-2023
317,shanhaiguan,39.9988,119.7564,-11.66,93,81,2.57,CN,12-18-2023
318,ad dawadimi,24.5077,44.3924,14.64,22,52,1.15,SA,12-18-2023
319,senillosa,-39.0,-68.4167,16.88,27,6,5.92,AR,12-18-2023
320,nova vicosa,-17.8919,-39.3719,30.18,57,23,6.23,BR,12-18-2023
321,mahina,-17.5065,-149.489,24.87,83,100,1.03,PF,12-18-2023
322,uturoa,-16.7333,-151.4333,25.88,81,100,5.27,PF,12-18-2023
323,al lagowa,11.4,29.1333,30.23,18,69,4.03,SD,12-18-2023
324,ewo,-0.8725,14.8206,31.3,51,100,1.21,CG,12-18-2023
325,rabaul,-4.1967,152.1721,26.52,82,85,1.66,PG,12-18-2023
326,zyryanovsk,49.7386,84.2719,-29.84,92,5,1.02,KZ,12-18-2023
327,puerto santa,-8.9906,-78.6456,21.8,82,99,4.42,PE,12-18-2023
328,ciudad sabinas hidalgo,26.5,-100.1667,18.75,45,16,1.43,MX,12-18-2023
329,zorritos,-3.6805,-80.6782,28.16,69,93,2.37,PE,12-18-2023
330,mumbwa,-14.9783,27.0619,27.63,55,89,1.31,ZM,12-18-2023
331,andergrove,-21.0833,149.1833,23.14,80,19,1.62,AU,12-18-2023
332,laojunmiao,39.8333,97.7333,-13.73,80,28,0.84,CN,12-18-2023
333,cozumel,20.5083,-86.9458,24.41,72,0,8.75,MX,12-18-2023
334,lompoc,34.6391,-120.4579,17.19,76,100,5.14,US,12-18-2023
335,remire-montjoly,4.9167,-52.2667,32.02,66,20,4.12,GF,12-18-2023
336,berdigestyakh,62.0989,126.6992,-35.2,98,99,2.3,RU,12-18-2023
337,gagliano del capo,39.8442,18.3695,11.68,82,20,3.6,IT,12-18-2023
338,san ignacio rio muerto,27.4167,-110.2333,16.29,25,97,2.14,MX,12-18-2023
339,lycksele,64.5954,18.6735,1.93,87,0,2.57,SE,12-18-2023
340,kangding,30.0513,101.9603,0.01,67,23,0.32,CN,12-18-2023
341,as sulayyil,20.4607,45.5779,18.14,23,0,3.57,SA,12-18-2023
342,frankfort,-27.2667,28.4833,29.01,30,92,4.96,ZA,12-18-2023
343,eraan,9.0629,117.7016,26.02,87,100,2.17,PH,12-18-2023
